objid,modelmag_u,modelmag_g,modelmag_r,modelmag_i,modelmag_z,z
587728949588525168,18.38,18.222,18.093,17.783,17.656,1.733
588848900440588357,18.969,18.72,18.3,18.173,17.868,0.256
588848900977524882,22.48,20.786,19.643,19.498,19.34,3.768
587728950125658136,19.365,19.253,18.999,18.897,18.881,1.247
587728949051981904,19.216,18.914,18.859,18.728,18.69,0.678
587728949052047511,19.908,19.273,19.048,19.003,18.751,2.259
588848900977852434,19.538,19.154,19.101,19.118,18.899,0.748
588848900977918034,19.035,18.67,18.701,18.595,18.605,0.661
587728950125789290,22.023,20.549,20,19.648,19.413,3.046
588848900978049035,19.938,19.33,19.192,18.886,18.779,0.624
587728950125920378,18.854,18.711,18.401,18.291,18.298,1.401
588848900978049103,18.624,18.599,18.105,18.058,18.134,1.254
588848898831155323,19.158,19.192,19.1,18.782,18.676,2.011
588848899905224828,20.47,19.961,19.563,19.201,19.2,1.545
587728947979157516,19.166,18.958,18.672,18.566,18.636,1.22
588848898831089747,18.263,18.109,18.141,18.02,18.044,1.736
587728947442155527,18.959,18.723,18.709,18.444,18.104,2.183
587728947979026490,18.809,18.475,18.473,18.558,18.536,0.74
587728949052768461,21.996,20.757,20.455,20.07,19.744,2.468
587728949052702856,17.846,17.401,17.3,17.277,17.387,1.235
588848898830762028,17.726,17.464,17.239,17.22,17.115,0.969
587728947441827924,19.375,18.969,18.6,18.57,18.526,1.022
588848898830762087,18.696,18.612,18.59,18.503,18.321,2.095
588848898830762158,20.57,20.34,20.35,20.098,19.827,1.589
587728947441958928,19.118,18.918,18.588,18.514,18.52,1.214
587728948515635303,19.152,17.65,16.837,16.257,16.009,0.091
587728949052440744,19.968,19.504,19.342,19.174,18.962,0.442
587728947441696997,19.76,19.485,18.985,18.814,18.368,0.362
588848898830565455,19.336,18.705,18.541,18.475,18.226,2.309
587728949052244070,19.313,18.889,18.518,18.523,18.364,0.935
588848899367239684,19.518,19.306,18.964,18.516,18.551,0.135
588848898830499946,22.31,20.274,19.976,19.471,19.169,2.992
588848899904110599,18.991,18.765,18.171,17.781,17.58,0.236
588848899904110684,19.659,19.366,19.121,18.927,18.899,0.794
587728950125985799,19.361,18.811,18.573,18.419,18.136,2.114
587728950125920375,18.318,17.535,16.946,16.468,16.277,0.115
588848900440850501,19.42,19.293,18.99,18.932,18.967,1.234
588848900977852461,19.773,19.808,19.419,19.457,19.639,1.273
587728950126051412,17.418,16.374,15.821,15.392,15.182,0.072
588848900978049167,20.796,19.715,19.441,19.282,18.915,2.552
588848901514985718,18.713,17.544,16.808,16.399,16.101,0.118
587728950126116924,19.187,18.924,18.799,18.507,18.522,1.712
587728949589246069,19.357,18.885,18.314,17.943,17.767,0.194
588848900978114635,18.962,18.866,18.651,18.733,18.919,1.333
587728950126248084,19.887,19.385,18.768,18.249,18.192,0.15
587728950126182591,19.5,17.642,16.62,16.107,15.801,0.115
587728950126248116,19.5,19.183,18.572,18.259,17.906,0.302
587728950126248120,19.762,19.367,19.194,19.071,18.863,0.792
588848901515116646,19.455,19.416,19.172,19.15,19.087,1.333
588848900441440280,18.755,18.378,18.455,18.331,18.368,0.556
587728950126510115,19.289,19.219,19.265,19.046,19.195,1.773
587728950126510283,23.262,20.789,19.612,19.567,19.608,3.724
588848900441767969,18.927,18.75,18.649,18.602,18.704,1.402
587728950126575834,21.524,21.325,20.759,20.057,19.958,0.643
588848898832138308,19.072,18.953,18.841,18.645,18.55,1.952
587728947443204155,19.211,18.919,18.815,18.762,18.617,2.131
587722983075545102,19.066,19.031,18.974,18.716,18.557,1.927
587728947980075029,17.577,17.349,16.875,16.449,16.338,0.188
587728947979812961,19.059,19.139,19.099,18.852,18.788,1.909
587728947443073174,19.484,19.436,19.077,19.054,19.175,1.188
588848899368747041,19.497,19.476,19.163,19.075,19.109,1.355
588848899905683546,18.349,18.18,18.019,17.889,17.956,1.439
587728947442942376,22.056,20.76,20.068,19.342,18.93,0.522
587728947979812911,18.943,18.569,18.442,18.533,18.461,0.917
587728948516749398,21.776,20.149,19.31,19.211,19.41,3.622
587728948516683805,18.911,18.32,17.884,17.966,17.789,1.019
588848898831679512,19.357,19.118,18.846,18.868,18.806,1.063
588848898831679576,18.988,18.403,17.937,17.555,17.476,1.57
587728948516552802,19.564,19.041,18.949,18.919,18.652,2.279
587728948516552727,19.282,18.914,18.992,19.017,18.879,0.676
587728948516618286,19.345,19.142,18.878,18.799,18.799,1.162
588848899368550439,18.784,18.691,18.673,18.412,18.25,1.839
587728948516552719,19.201,18.933,19.017,18.817,18.676,0.482
587728948516552865,25.711,21.954,19.345,19.339,19.206,4.303
588848899905356062,24.768,21.542,19.938,19.529,19.563,4.162
588848899368419378,18.887,18.447,18.325,18.271,18.2,2.258
587728947442679969,19.65,19.367,19.307,18.997,18.576,0.435
588848899905159194,19.591,19.157,19.106,18.879,18.937,0.545
587728947979485264,20.39,20.097,19.673,19.644,19.476,1.281
588848898831482902,15.96,15.769,15.695,15.795,15.272,0.359
587728948516225059,18.917,18.808,18.514,18.539,18.671,1.278
587728949053096116,21.562,20.209,19.75,19.502,19.216,0.662
587728947442483301,19.97,19.551,19.15,19.023,19.04,1.539
587728949052899358,19.529,19.148,18.725,18.646,18.633,1.142
587728949052899373,19.35,19.073,18.832,18.717,18.502,2.029
588848899367960790,25.925,20.901,19.3,19.108,19.083,3.992
587728950126772257,19.127,18.982,18.955,18.69,18.81,1.738
587728950126641218,18.721,18.427,18.175,18.176,18.174,1.163
588848900441702489,19.623,19.396,19.303,19.091,19.089,1.583
587728949589770290,18.808,18.537,18.328,18.033,18.024,1.647
588848900441833866,21.499,21.163,20.843,20.37,20.075,1.653
587728949053292682,19.388,19.145,18.966,19.034,19.096,0.995
588848900978901104,18.365,18.131,17.976,18.025,17.926,0.914
587728949053423763,19.804,19.115,18.837,18.697,18.428,2.6
588848900442357848,18.521,18.442,18.288,18.346,18.323,0.982
587728949590425822,20.39,20.253,20.075,19.713,20.054,1.539
587728949053489206,19.609,19.306,18.564,18.232,17.734,0.348
587728950127165508,19.151,18.814,18.89,18.642,18.447,0.477
588848900979163157,19.564,19.356,19.213,19.084,19.294,1.478
