agcnum,radeg,decdeg,distMpc,Vcmb,logL_V,logMH,gas2L_V,AbsMag_i,logL_i,gas2L_i
221089,193.2917, 25.278, 21.1, 1363., 8.54, 7.88,-0.6586,-16.90, 8.5929,-0.7129
  8018,193.3108,  4.463, 16.6, 1048., 9.25, 9.11,-0.1407,-18.47, 9.2191,-0.1091
224229,193.4175,  4.076, 16.6, 1225., 7.66, 7.48,-0.1838,-14.66, 7.6953,-0.2153
224230,193.4304,  4.154, 16.6, 1094., 7.63, 7.64, 0.0062,-14.39, 7.5884, 0.0516
  8024,193.5225, 27.149,  4.3,  647., 6.92, 8.47, 1.5458,  3.69, 0.3549, 8.1151
  8030,193.6212, 26.304,  7.8,  903., 7.39, 7.38,-0.0134,-13.76, 7.3363, 0.0437
221597,193.6829,  8.052, 38.7, 2853., 9.55, 8.49,-1.0572,-19.54, 9.6469,-1.1569
  8042,193.7929,  7.918, 40.4, 2981., 9.11, 8.78,-0.3343,-18.23, 9.1254,-0.3454
  8045,193.8479,  7.909, 42.3, 3118., 9.42, 8.92,-0.5029,-19.16, 9.4941,-0.5741
  8054,193.9542,  4.304, 18.5, 1083., 9.93, 9.75,-0.1761,-20.22, 9.9180,-0.1680
  8053,193.9542,  4.014, 16.6, 1033., 8.31, 8.99, 0.6808,-15.65, 8.0928, 0.8972
  8055,194.0188,  3.813, 16.6,  941., 7.82, 8.78, 0.9586,-14.69, 7.7091, 1.0709
227974,194.0146,  4.867, 16.6, 1695., 6.99, 7.68, 0.6927,-11.51, 6.4354, 1.2446
  8056,194.0829, 10.188, 41.0, 3012., 9.31, 9.60, 0.2939,-18.44, 9.2071, 0.3929
222259,194.2225,  8.162, 39.5, 2914., 9.06, 8.72,-0.3369,-17.97, 9.0182,-0.2982
222260,194.2375,  4.065, 16.6, 1152., 8.57, 8.35,-0.2191,-16.76, 8.5359,-0.1859
229050,194.2792,  8.145, 40.0, 2948., 7.33, 8.16, 0.8306,-13.12, 7.0813, 1.0787
227975,194.3254,  4.991, 16.6, 1206., 6.86, 7.53, 0.6741,-12.40, 6.7937, 0.7363
735001,194.4021,  9.313, 16.2, 2270., 7.89, 7.60,-0.2921,-15.03, 7.8437,-0.2437
225853,194.3992,  9.992, 41.7, 3060., 8.27, 8.48, 0.2051,-15.97, 8.2213, 0.2587
  8085,194.5721, 14.556, 32.6, 2346., 9.63, 9.68, 0.0466,-19.41, 9.5969, 0.0831
  8091,194.6683, 14.217,  2.1,  518., 6.39, 7.05, 0.6563,-11.29, 6.3499, 0.7001
221245,194.7200, 13.153, 30.9, 2218., 8.94, 9.11, 0.1662,-17.74, 8.9294, 0.1806
732418,194.7842, 26.378, 15.0, 1271., 7.57, 7.15,-0.4206,-14.33, 7.5655,-0.4155
226110,194.7762, 14.430, 40.9, 2976., 8.24, 8.43, 0.1883,-15.79, 8.1476, 0.2824
  8102,194.8625, 14.171, 31.8, 2289.,10.52, 9.75,-0.7730,-22.06,10.6574,-0.9074
225851,194.9275, 11.077, 42.4, 3103., 8.75, 8.62,-0.1305,-17.29, 8.7484,-0.1284
225852,194.9246, 10.728, 16.6, 1467., 7.90, 7.67,-0.2285,-15.13, 7.8842,-0.2142
233574,195.0921, 12.924, 31.0, 2227., 8.10, 8.22, 0.1152,-15.39, 7.9883, 0.2317
  8114,195.1042, 13.670, 31.9, 2295., 8.84, 9.26, 0.4243,-17.34, 8.7667, 0.4933
735052,195.4675,  8.558, 42.9, 3155., 8.47, 8.33,-0.1403,-16.49, 8.4272,-0.0972
232129,195.6742,  5.958, 43.1, 3184., 8.74, 8.95, 0.2050,-17.22, 8.7212, 0.2288
  8153,195.7742,  3.992, 42.9, 3180., 9.29, 9.62, 0.3338,-18.65, 9.2901, 0.3299
732482,195.9033, 24.526, 10.2, 1118., 7.76, 7.73,-0.0328,-14.68, 7.7040, 0.0260
238685,196.0450,  5.487, 42.4, 3133., 7.94, 8.55, 0.6053,-15.24, 7.9294, 0.6206
231989,196.1400, 26.774, 31.4, 2195., 7.91, 8.84, 0.9330,-15.02, 7.8387, 1.0013
  8185,196.4483, 27.733, 33.9, 2796., 9.79, 9.59,-0.2014,-19.87, 9.7813,-0.1913
230077,196.5971, 10.433, 16.6, 1237., 7.08, 8.64, 1.5624,-11.77, 6.5406, 2.0994
230084,196.7329, 14.807, 16.6, 1282., 8.01, 8.00,-0.0113,-15.41, 7.9954, 0.0046
  8249,197.6100, 24.921, 39.5, 2810., 8.97, 9.56, 0.5850,-17.63, 8.8832, 0.6768
  8279,198.0279, 24.095, 46.3, 2880.,10.30, 9.65,-0.6515,-21.33,10.3633,-0.7133
  8276,198.0262,  5.476, 16.9, 1224., 7.75, 8.43, 0.6779,-14.84, 7.7681, 0.6619
230161,198.0725, 26.685, 10.0, 1052., 8.48, 7.92,-0.5570,-16.78, 8.5424,-0.6224
  8285,198.1387,  7.184, 16.8, 1206., 8.66, 8.72, 0.0638,-16.98, 8.6258, 0.0942
238737,198.2683,  6.285, 16.9, 1201., 7.25, 7.46, 0.2137,-13.57, 7.2604, 0.1996
  8298,198.3321, 10.194, 16.3, 1460., 8.48, 8.98, 0.4955,-16.55, 8.4508, 0.5292
  8333,198.9750, 25.436, 30.6, 1201., 8.58, 9.39, 0.8073,-17.25, 8.7308, 0.6592
749463,199.0454, 25.671, 19.9, 1275., 8.08, 8.53, 0.4506,-15.30, 7.9521, 0.5779
  8345,199.2171, 12.548, 16.7, 1261., 8.73, 8.98, 0.2541,-17.24, 8.7267, 0.2533
732593,199.5317, 24.742, 42.9, 3055., 8.44, 9.03, 0.5927,-16.33, 8.3641, 0.6659
  8363,199.6917, 27.732, 38.4, 2709., 8.99, 9.47, 0.4775,-17.67, 8.8995, 0.5705
732599,199.9337, 26.092, 31.6, 2195., 8.12, 7.96,-0.1637,-15.82, 8.1588,-0.1988
233627,199.9708, 13.806, 16.8, 1227., 7.00, 7.98, 0.9848,-12.52, 6.8383, 1.1417
238828,200.0587, 26.138, 31.1, 2156., 7.63, 7.99, 0.3623,-14.31, 7.5579, 0.4321
238829,200.0638, 27.605, 38.0, 2676., 8.23, 8.41, 0.1833,-15.85, 8.1725, 0.2375
  8382,200.1342,  5.407, 16.8, 1270., 8.32, 8.52, 0.2018,-16.07, 8.2605, 0.2595
